4,8,16,32,64
0.416,0.202,0.112,0.11,0.072
0.406,0.192,0.128,0.122,0.072
0.426,0.262,0.23,0.234,0.268
0.426,0.292,0.254,0.232,0.234
0.41,0.232,0.202,0.206,0.22
0.388,0.232,0.26,0.64,0.9
0.518,0.264,0.256,0.22,0.198
0.376,0.238,0.528,0.678,0.312
0,0,0,0,0
