8,16,32,64
0.39,0.28,0.28,0.19
0.36,0.24,0.31,0.19
0.45,0.29,0.39,0.44
0.48,0.31,0.29,0.31
0.39,0.25,0.24,0.17
0.76,0.71,0.76,0.9
0.48,0.38,0.37,0.34
0.59,0.39,0.38,0.6
0,0,0,0
