Unprocesses,,,,,Processes ,,,,,,Unprocesses,,,,,Processes ,,,,
NN,,,,,NN,,,,,,Eucl-s,,,,,Eucl-s,,,,
4,8,16,32,64,4,8,16,32,64,,4,8,16,32,64,4,8,16,32,64
0.3,0.19,0.14,0.15,0.13,0.384,0.209,0.102,0.087,0.079,,0.61,0.49,0.33,0.36,0.31,0.68,0.55,0.32,0.3,0.23
0.31,0.23,0.17,0.16,0.14,0.363,0.198,0.101,0.093,0.081,,0.57,0.46,0.35,0.31,0.27,0.62,0.51,0.32,0.28,0.22
0.41,0.29,0.39,0.6,0.66,0.44,0.329,0.255,0.235,0.257,,0.52,0.48,0.42,0.54,0.54,0.63,0.54,0.5,0.62,0.62
0.4,0.31,0.35,0.31,0.29,0.445,0.36,0.319,0.301,0.29,,0.55,0.46,0.4,0.33,0.26,0.61,0.52,0.43,0.34,0.34
0.38,0.27,0.35,0.6,0.62,0.429,0.313,0.24,0.212,0.226,,0.52,0.49,0.38,0.46,0.54,0.64,0.51,0.47,0.58,0.78
0.71,0.47,0.57,0.9,0.9,0.359,0.217,0.161,0.396,0.502,,0.74,0.69,0.57,0.9,0.9,0.76,0.65,0.45,0.9,0.9
0.42,0.36,0.3,0.33,0.23,0.557,0.365,0.282,0.264,0.212,,0.7,0.54,0.34,0.33,0.26,0.81,0.54,0.34,0.4,0.33
0.61,0.44,0.38,0.63,0.64,0.417,0.303,0.228,0.83,0.429,,0.69,0.8,0.48,0.56,0.51,0.69,0.74,0.56,0.68,0.59
0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
In-in,,,,,In-In,,,,,,Eucl-m,,,,,Eucl-m,,,,
,8,16,32,64,,8,16,32,64,,4,8,16,32,64,4,8,16,32,64
,0.39,0.28,0.28,0.19,,0.48,0.32,0.28,0.29,,0.45,0.51,0.32,0.25,0.22,0.56,0.35,0.28,0.22,0.21
,0.36,0.24,0.31,0.19,,0.36,0.28,0.29,0.26,,0.46,0.43,0.28,0.25,0.2,0.48,0.34,0.27,0.22,0.22
,0.45,0.29,0.39,0.44,,0.4,0.29,0.31,0.55,,0.42,0.42,0.44,0.48,0.54,0.46,0.44,0.45,0.64,0.51
,0.48,0.31,0.29,0.31,,0.45,0.31,0.33,0.35,,0.42,0.44,0.28,0.31,0.28,0.47,0.4,0.32,0.32,0.33
,0.39,0.25,0.24,0.17,,0.36,0.22,0.12,0.18,,0.42,0.41,0.35,0.58,0.68,0.47,0.43,0.43,0.61,0.73
,0.76,0.71,0.76,0.9,,0.66,0.56,0.72,0.9,,0.7,0.58,0.7,0.9,0.9,0.7,0.68,0.74,0.9,0.9
,0.48,0.38,0.37,0.34,,0.48,0.27,0.34,0.39,,0.55,0.47,0.31,0.37,0.29,0.56,0.46,0.33,0.42,0.36
,0.59,0.39,0.38,0.6,,0.46,0.51,0.41,0.54,,0.67,0.62,0.52,0.55,0.55,0.52,0.52,0.56,0.66,0.52
,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
